NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP
DRP.AEN_TXOUTCLK_SEL,3b,0,1,1,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.AEN_TXSYSCLK_SEL,3b,0,0,0,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.ES_CONTROL,3c,0,10,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_ERRDET_EN,3c,0,9,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_EYE_SCAN_EN,3c,0,8,8,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_PRESCALE,3c,0,0,4,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXDFE_HC_CFG0,3d,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.TX_PROGDIV_CFG,3e,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_QUALIFIER0,3f,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_QUALIFIER1,40,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_QUALIFIER2,41,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_QUALIFIER3,42,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_QUALIFIER4,43,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_QUAL_MASK0,44,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_QUAL_MASK1,45,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_QUAL_MASK2,46,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_QUAL_MASK3,47,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_QUAL_MASK4,48,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ES_SDATA_MASK0,49,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
